soc,scenario,eta,eps,task_id,t_star
49-1011.00,Baseline,1.0,0.05,2921,2024.0
49-1011.00,Baseline,1.0,0.05,2932,2024.0
49-1011.00,Baseline,2.0,0.01,2914,
49-1011.00,Baseline,2.0,0.01,2912,
49-1011.00,Baseline,2.0,0.01,15263,
49-1011.00,Baseline,2.0,0.01,2929,
49-1011.00,Baseline,2.0,0.01,15262,
49-1011.00,Baseline,2.0,0.01,2918,
49-1011.00,Baseline,2.0,0.01,2925,
49-1011.00,Baseline,2.0,0.01,2919,
49-1011.00,Baseline,2.0,0.01,2915,
49-1011.00,Baseline,2.0,0.01,2920,
49-1011.00,Baseline,2.0,0.01,2916,
49-1011.00,Baseline,2.0,0.01,2923,
49-1011.00,Baseline,2.0,0.01,2931,
49-1011.00,Baseline,2.0,0.01,2917,
49-1011.00,Baseline,2.0,0.01,2926,
49-1011.00,Baseline,2.0,0.01,2930,
49-1011.00,Baseline,2.0,0.01,2927,
49-1011.00,Baseline,2.0,0.01,15264,
49-1011.00,Baseline,2.0,0.01,2921,
49-1011.00,Baseline,2.0,0.01,2932,
49-1011.00,Baseline,2.0,0.05,2914,2024.0
49-1011.00,Baseline,2.0,0.05,2912,2024.0
49-1011.00,Baseline,2.0,0.05,15263,2024.0
49-1011.00,Baseline,2.0,0.05,2929,
49-1011.00,Baseline,2.0,0.05,15262,2024.0
49-1011.00,Baseline,2.0,0.05,2918,
49-1011.00,Baseline,2.0,0.05,2925,
49-1011.00,Baseline,2.0,0.05,2919,2024.0
49-1011.00,Baseline,2.0,0.05,2915,
49-1011.00,Baseline,2.0,0.05,2920,2024.0
49-1011.00,Baseline,2.0,0.05,2916,2024.0
49-1011.00,Baseline,2.0,0.05,2923,
49-1011.00,Baseline,2.0,0.05,2931,2024.0
49-1011.00,Baseline,2.0,0.05,2917,2024.0
49-1011.00,Baseline,2.0,0.05,2926,2024.0
49-1011.00,Baseline,2.0,0.05,2930,
49-1011.00,Baseline,2.0,0.05,2927,2024.0
49-1011.00,Baseline,2.0,0.05,15264,2024.0
49-1011.00,Baseline,2.0,0.05,2921,2024.0
49-1011.00,Baseline,2.0,0.05,2932,2024.0
49-1011.00,Slow,0.5,0.01,2914,
49-1011.00,Slow,0.5,0.01,2912,
49-1011.00,Slow,0.5,0.01,15263,
49-1011.00,Slow,0.5,0.01,2929,
49-1011.00,Slow,0.5,0.01,15262,
49-1011.00,Slow,0.5,0.01,2918,
49-1011.00,Slow,0.5,0.01,2925,
49-1011.00,Slow,0.5,0.01,2919,
49-1011.00,Slow,0.5,0.01,2915,
49-1011.00,Slow,0.5,0.01,2920,
49-1011.00,Slow,0.5,0.01,2916,
49-1011.00,Slow,0.5,0.01,2923,
49-1011.00,Slow,0.5,0.01,2931,
49-1011.00,Slow,0.5,0.01,2917,
49-1011.00,Slow,0.5,0.01,2926,
49-1011.00,Slow,0.5,0.01,2930,
49-1011.00,Slow,0.5,0.01,2927,
49-1011.00,Slow,0.5,0.01,15264,
49-1011.00,Slow,0.5,0.01,2921,
49-1011.00,Slow,0.5,0.01,2932,
49-1011.00,Slow,0.5,0.05,2914,
49-1011.00,Slow,0.5,0.05,2912,
49-1011.00,Slow,0.5,0.05,15263,
49-1011.00,Slow,0.5,0.05,2929,
49-1011.00,Slow,0.5,0.05,15262,
49-1011.00,Slow,0.5,0.05,2918,
49-1011.00,Slow,0.5,0.05,2925,
49-1011.00,Slow,0.5,0.05,2919,
49-1011.00,Slow,0.5,0.05,2915,
49-1011.00,Slow,0.5,0.05,2920,2024.0
49-1011.00,Slow,0.5,0.05,2916,2024.0
49-1011.00,Slow,0.5,0.05,2923,
49-1011.00,Slow,0.5,0.05,2931,2024.0
49-1011.00,Slow,0.5,0.05,2917,2024.0
49-1011.00,Slow,0.5,0.05,2926,2024.0
49-1011.00,Slow,0.5,0.05,2930,2024.0
49-1011.00,Slow,0.5,0.05,2927,2024.0
49-1011.00,Slow,0.5,0.05,15264,2024.0
49-1011.00,Slow,0.5,0.05,2921,2024.0
49-1011.00,Slow,0.5,0.05,2932,2024.0
49-1011.00,Slow,1.0,0.01,2914,
49-1011.00,Slow,1.0,0.01,2912,
49-1011.00,Slow,1.0,0.01,15263,
49-1011.00,Slow,1.0,0.01,2929,
49-1011.00,Slow,1.0,0.01,15262,
49-1011.00,Slow,1.0,0.01,2918,
49-1011.00,Slow,1.0,0.01,2925,
49-1011.00,Slow,1.0,0.01,2919,
49-1011.00,Slow,1.0,0.01,2915,
49-1011.00,Slow,1.0,0.01,2920,
49-1011.00,Slow,1.0,0.01,2916,
49-1011.00,Slow,1.0,0.01,2923,
49-1011.00,Slow,1.0,0.01,2931,
49-1011.00,Slow,1.0,0.01,2917,
49-1011.00,Slow,1.0,0.01,2926,
49-1011.00,Slow,1.0,0.01,2930,
49-1011.00,Slow,1.0,0.01,2927,
49-1011.00,Slow,1.0,0.01,15264,
49-1011.00,Slow,1.0,0.01,2921,
49-1011.00,Slow,1.0,0.01,2932,
49-1011.00,Slow,1.0,0.05,2914,
49-1011.00,Slow,1.0,0.05,2912,2024.0
49-1011.00,Slow,1.0,0.05,15263,
49-1011.00,Slow,1.0,0.05,2929,
49-1011.00,Slow,1.0,0.05,15262,2034.25
49-1011.00,Slow,1.0,0.05,2918,
49-1011.00,Slow,1.0,0.05,2925,
49-1011.00,Slow,1.0,0.05,2919,2024.0
49-1011.00,Slow,1.0,0.05,2915,
49-1011.00,Slow,1.0,0.05,2920,2024.0
49-1011.00,Slow,1.0,0.05,2916,2024.0
49-1011.00,Slow,1.0,0.05,2923,
49-1011.00,Slow,1.0,0.05,2931,2024.0
49-1011.00,Slow,1.0,0.05,2917,2024.0
49-1011.00,Slow,1.0,0.05,2926,2024.0
49-1011.00,Slow,1.0,0.05,2930,2024.0
49-1011.00,Slow,1.0,0.05,2927,2024.0
49-1011.00,Slow,1.0,0.05,15264,2024.0
49-1011.00,Slow,1.0,0.05,2921,2024.0
49-1011.00,Slow,1.0,0.05,2932,2024.0
49-1011.00,Slow,2.0,0.01,2914,
49-1011.00,Slow,2.0,0.01,2912,
49-1011.00,Slow,2.0,0.01,15263,
49-1011.00,Slow,2.0,0.01,2929,
49-1011.00,Slow,2.0,0.01,15262,
49-1011.00,Slow,2.0,0.01,2918,
49-1011.00,Slow,2.0,0.01,2925,
49-1011.00,Slow,2.0,0.01,2919,
49-1011.00,Slow,2.0,0.01,2915,
49-1011.00,Slow,2.0,0.01,2920,
49-1011.00,Slow,2.0,0.01,2916,
49-1011.00,Slow,2.0,0.01,2923,
49-1011.00,Slow,2.0,0.01,2931,
49-1011.00,Slow,2.0,0.01,2917,
49-1011.00,Slow,2.0,0.01,2926,
49-1011.00,Slow,2.0,0.01,2930,
49-1011.00,Slow,2.0,0.01,2927,
49-1011.00,Slow,2.0,0.01,15264,
49-1011.00,Slow,2.0,0.01,2921,
49-1011.00,Slow,2.0,0.01,2932,
49-1011.00,Slow,2.0,0.05,2914,2024.0
49-1011.00,Slow,2.0,0.05,2912,2024.0
49-1011.00,Slow,2.0,0.05,15263,2024.0
49-1011.00,Slow,2.0,0.05,2929,
49-1011.00,Slow,2.0,0.05,15262,2024.0
49-1011.00,Slow,2.0,0.05,2918,
49-1011.00,Slow,2.0,0.05,2925,
49-1011.00,Slow,2.0,0.05,2919,2024.0
49-1011.00,Slow,2.0,0.05,2915,
49-1011.00,Slow,2.0,0.05,2920,2024.0
49-1011.00,Slow,2.0,0.05,2916,2024.0
49-1011.00,Slow,2.0,0.05,2923,
49-1011.00,Slow,2.0,0.05,2931,2024.0
49-1011.00,Slow,2.0,0.05,2917,2024.0
49-1011.00,Slow,2.0,0.05,2926,2024.0
49-1011.00,Slow,2.0,0.05,2930,
49-1011.00,Slow,2.0,0.05,2927,2024.0
49-1011.00,Slow,2.0,0.05,15264,2024.0
49-1011.00,Slow,2.0,0.05,2921,2024.0
49-1011.00,Slow,2.0,0.05,2932,2024.0
49-1011.00,Fast,0.5,0.01,2914,
49-1011.00,Fast,0.5,0.01,2912,
49-1011.00,Fast,0.5,0.01,15263,
49-1011.00,Fast,0.5,0.01,2929,
49-1011.00,Fast,0.5,0.01,15262,
49-1011.00,Fast,0.5,0.01,2918,
49-1011.00,Fast,0.5,0.01,2925,
49-1011.00,Fast,0.5,0.01,2919,
49-1011.00,Fast,0.5,0.01,2915,
49-1011.00,Fast,0.5,0.01,2920,
49-1011.00,Fast,0.5,0.01,2916,
49-1011.00,Fast,0.5,0.01,2923,
49-1011.00,Fast,0.5,0.01,2931,
49-1011.00,Fast,0.5,0.01,2917,
49-1011.00,Fast,0.5,0.01,2926,
49-1011.00,Fast,0.5,0.01,2930,
49-1011.00,Fast,0.5,0.01,2927,
49-1011.00,Fast,0.5,0.01,15264,
49-1011.00,Fast,0.5,0.01,2921,
49-1011.00,Fast,0.5,0.01,2932,
49-1011.00,Fast,0.5,0.05,2914,
49-1011.00,Fast,0.5,0.05,2912,2030.0
49-1011.00,Fast,0.5,0.05,15263,
49-1011.00,Fast,0.5,0.05,2929,
49-1011.00,Fast,0.5,0.05,15262,
49-1011.00,Fast,0.5,0.05,2918,
49-1011.00,Fast,0.5,0.05,2925,
49-1011.00,Fast,0.5,0.05,2919,2030.75
49-1011.00,Fast,0.5,0.05,2915,
49-1011.00,Fast,0.5,0.05,2920,2024.0
49-1011.00,Fast,0.5,0.05,2916,2024.0
49-1011.00,Fast,0.5,0.05,2923,
49-1011.00,Fast,0.5,0.05,2931,2024.0
49-1011.00,Fast,0.5,0.05,2917,2024.0
49-1011.00,Fast,0.5,0.05,2926,2024.0
49-1011.00,Fast,0.5,0.05,2930,2024.0
49-1011.00,Fast,0.5,0.05,2927,2024.0
49-1011.00,Fast,0.5,0.05,15264,2024.0
49-1011.00,Fast,0.5,0.05,2921,2024.0
49-1011.00,Fast,0.5,0.05,2932,2024.0
49-1011.00,Fast,1.0,0.01,2914,
49-1011.00,Fast,1.0,0.01,2912,
49-1011.00,Fast,1.0,0.01,15263,
49-1011.00,Fast,1.0,0.01,2929,
49-1011.00,Fast,1.0,0.01,15262,
49-1011.00,Fast,1.0,0.01,2918,
49-1011.00,Fast,1.0,0.01,2925,
49-1011.00,Fast,1.0,0.01,2919,
49-1011.00,Fast,1.0,0.01,2915,
49-1011.00,Fast,1.0,0.01,2920,
49-1011.00,Fast,1.0,0.01,2916,
49-1011.00,Fast,1.0,0.01,2923,
49-1011.00,Fast,1.0,0.01,2931,
49-1011.00,Fast,1.0,0.01,2917,
49-1011.00,Fast,1.0,0.01,2926,
49-1011.00,Fast,1.0,0.01,2930,
49-1011.00,Fast,1.0,0.01,2927,
49-1011.00,Fast,1.0,0.01,15264,
49-1011.00,Fast,1.0,0.01,2921,
49-1011.00,Fast,1.0,0.01,2932,
49-1011.00,Fast,1.0,0.05,2914,
49-1011.00,Fast,1.0,0.05,2912,2024.0
49-1011.00,Fast,1.0,0.05,15263,
49-1011.00,Fast,1.0,0.05,2929,
49-1011.00,Fast,1.0,0.05,15262,2027.25
49-1011.00,Fast,1.0,0.05,2918,
49-1011.00,Fast,1.0,0.05,2925,
49-1011.00,Fast,1.0,0.05,2919,2024.0
49-1011.00,Fast,1.0,0.05,2915,
49-1011.00,Fast,1.0,0.05,2920,2024.0
49-1011.00,Fast,1.0,0.05,2916,2024.0
49-1011.00,Fast,1.0,0.05,2923,
49-1011.00,Fast,1.0,0.05,2931,2024.0
49-1011.00,Fast,1.0,0.05,2917,2024.0
49-1011.00,Fast,1.0,0.05,2926,2024.0
49-1011.00,Fast,1.0,0.05,2930,2024.0
49-1011.00,Fast,1.0,0.05,2927,2024.0
49-1011.00,Fast,1.0,0.05,15264,2024.0
49-1011.00,Fast,1.0,0.05,2921,2024.0
49-1011.00,Fast,1.0,0.05,2932,2024.0
49-1011.00,Fast,2.0,0.01,2914,
49-1011.00,Fast,2.0,0.01,2912,
49-1011.00,Fast,2.0,0.01,15263,
49-1011.00,Fast,2.0,0.01,2929,
49-1011.00,Fast,2.0,0.01,15262,
49-1011.00,Fast,2.0,0.01,2918,
49-1011.00,Fast,2.0,0.01,2925,
49-1011.00,Fast,2.0,0.01,2919,
49-1011.00,Fast,2.0,0.01,2915,
49-1011.00,Fast,2.0,0.01,2920,
49-1011.00,Fast,2.0,0.01,2916,
49-1011.00,Fast,2.0,0.01,2923,
49-1011.00,Fast,2.0,0.01,2931,
49-1011.00,Fast,2.0,0.01,2917,
49-1011.00,Fast,2.0,0.01,2926,
49-1011.00,Fast,2.0,0.01,2930,
49-1011.00,Fast,2.0,0.01,2927,
49-1011.00,Fast,2.0,0.01,15264,
49-1011.00,Fast,2.0,0.01,2921,
49-1011.00,Fast,2.0,0.01,2932,
49-1011.00,Fast,2.0,0.05,2914,2024.0
49-1011.00,Fast,2.0,0.05,2912,2024.0
49-1011.00,Fast,2.0,0.05,15263,2024.0
49-1011.00,Fast,2.0,0.05,2929,
49-1011.00,Fast,2.0,0.05,15262,2024.0
49-1011.00,Fast,2.0,0.05,2918,
49-1011.00,Fast,2.0,0.05,2925,
49-1011.00,Fast,2.0,0.05,2919,2024.0
49-1011.00,Fast,2.0,0.05,2915,
49-1011.00,Fast,2.0,0.05,2920,2024.0
49-1011.00,Fast,2.0,0.05,2916,2024.0
49-1011.00,Fast,2.0,0.05,2923,
49-1011.00,Fast,2.0,0.05,2931,2024.0
49-1011.00,Fast,2.0,0.05,2917,2024.0
49-1011.00,Fast,2.0,0.05,2926,2024.0
49-1011.00,Fast,2.0,0.05,2930,
49-1011.00,Fast,2.0,0.05,2927,2024.0
49-1011.00,Fast,2.0,0.05,15264,2024.0
49-1011.00,Fast,2.0,0.05,2921,2024.0
49-1011.00,Fast,2.0,0.05,2932,2024.0
