soc,scenario,eta,t,task_id,p_ij
17-2199.08,Fast,2.0,2024.0,16517,0.07217181180087544
17-2199.08,Fast,2.0,2024.0,16509,0.091149498820361
17-2199.08,Fast,2.0,2024.0,16511,0.08741728347599571
17-2199.08,Fast,2.0,2024.0,16521,0.03778495130067948
17-2199.08,Fast,2.0,2024.0,16512,0.04735717633919914
17-2199.08,Fast,2.0,2024.0,16516,0.0346214152049654
17-2199.08,Fast,2.0,2024.0,21057,0.034534853882661413
17-2199.08,Fast,2.0,2024.0,16520,0.07455459701828812
17-2199.08,Fast,2.0,2024.0,21058,0.07041227941555686
17-2199.08,Fast,2.0,2024.0,16528,0.03076538853081942
17-2199.08,Fast,2.0,2024.0,16523,0.029739107529690126
17-2199.08,Fast,2.0,2024.0,16514,0.02835225814284854
17-2199.08,Fast,2.0,2024.0,16510,0.06469220729105654
17-2199.08,Fast,2.0,2024.0,16515,0.02708559821791105
17-2199.08,Fast,2.0,2024.0,16530,0.026290354990701037
17-2199.08,Fast,2.0,2024.0,16518,0.03327842281094484
17-2199.08,Fast,2.0,2024.0,16519,0.05903763761060078
17-2199.08,Fast,2.0,2024.0,16525,0.05741004427271085
17-2199.08,Fast,2.0,2024.0,16522,0.05719644934647858
17-2199.08,Fast,2.0,2024.0,16513,0.03614866399765587
17-2199.08,Fast,2.0,2024.25,16517,0.07222955081161682
17-2199.08,Fast,2.0,2024.25,16509,0.09164351289882942
17-2199.08,Fast,2.0,2024.25,16511,0.08789106961083468
17-2199.08,Fast,2.0,2024.25,16521,0.03736827572318802
17-2199.08,Fast,2.0,2024.25,16512,0.047131585917143295
17-2199.08,Fast,2.0,2024.25,16516,0.034239625691481465
17-2199.08,Fast,2.0,2024.25,21057,0.034154018928802876
17-2199.08,Fast,2.0,2024.25,16520,0.07495866967933655
17-2199.08,Fast,2.0,2024.25,21058,0.07079390145164609
17-2199.08,Fast,2.0,2024.25,16528,0.030426121558346238
17-2199.08,Fast,2.0,2024.25,16523,0.029411157926013082
17-2199.08,Fast,2.0,2024.25,16514,0.02803960209518425
17-2199.08,Fast,2.0,2024.25,16510,0.06504282755318179
17-2199.08,Fast,2.0,2024.25,16515,0.026786910330520636
17-2199.08,Fast,2.0,2024.25,16530,0.026000436690660544
17-2199.08,Fast,2.0,2024.25,16518,0.03311989787285515
17-2199.08,Fast,2.0,2024.25,16519,0.05935761111036334
17-2199.08,Fast,2.0,2024.25,16525,0.05772119650594594
17-2199.08,Fast,2.0,2024.25,16522,0.057506443933187754
17-2199.08,Fast,2.0,2024.25,16513,0.03617758371086199
17-2199.08,Fast,2.0,2024.5,16517,0.07228674233978463
17-2199.08,Fast,2.0,2024.5,16509,0.09213284272490782
17-2199.08,Fast,2.0,2024.5,16511,0.08836036329509134
17-2199.08,Fast,2.0,2024.5,16521,0.03695555107271426
17-2199.08,Fast,2.0,2024.5,16512,0.04690813454844595
17-2199.08,Fast,2.0,2024.5,16516,0.03386145631458672
17-2199.08,Fast,2.0,2024.5,21057,0.03377679506037811
17-2199.08,Fast,2.0,2024.5,16520,0.07535891091449906
17-2199.08,Fast,2.0,2024.5,21058,0.07117190493917049
17-2199.08,Fast,2.0,2024.5,16528,0.030090071522790317
17-2199.08,Fast,2.0,2024.5,16523,0.029086317947712718
17-2199.08,Fast,2.0,2024.5,16514,0.027729910659061142
17-2199.08,Fast,2.0,2024.5,16510,0.06539012322624686
17-2199.08,Fast,2.0,2024.5,16515,0.026491054608267558
17-2199.08,Fast,2.0,2024.5,16530,0.025713267402336676
17-2199.08,Fast,2.0,2024.5,16518,0.03296287607172552
17-2199.08,Fast,2.0,2024.5,16519,0.05967455061434251
17-2199.08,Fast,2.0,2024.5,16525,0.058029398386841465
17-2199.08,Fast,2.0,2024.5,16522,0.057813499144387256
17-2199.08,Fast,2.0,2024.5,16513,0.03620622920670952
