soc,scenario,eta,t,task_id,p_ij
17-2199.08,Slow,4.0,2024.0,16517,0.06346975543416597
17-2199.08,Slow,4.0,2024.0,16509,0.11698345136889088
17-2199.08,Slow,4.0,2024.0,16511,0.11219343674581261
17-2199.08,Slow,4.0,2024.0,16521,0.019945913853765214
17-2199.08,Slow,4.0,2024.0,16512,0.03059171754727902
17-2199.08,Slow,4.0,2024.0,16516,0.018275946941904857
17-2199.08,Slow,4.0,2024.0,21057,0.018230252965379546
17-2199.08,Slow,4.0,2024.0,16520,0.09568515666558904
17-2199.08,Slow,4.0,2024.0,21058,0.09036880697519045
17-2199.08,Slow,4.0,2024.0,16528,0.016240428217841996
17-2199.08,Slow,4.0,2024.0,16523,0.015698675172419577
17-2199.08,Slow,4.0,2024.0,16514,0.014966585347082367
17-2199.08,Slow,4.0,2024.0,16510,0.08302752931746232
17-2199.08,Slow,4.0,2024.0,16515,0.01429794111505009
17-2199.08,Slow,4.0,2024.0,16530,0.01387814825157653
17-2199.08,Slow,4.0,2024.0,16518,0.021497145517282077
17-2199.08,Slow,4.0,2024.0,16519,0.07577031906632009
17-2199.08,Slow,4.0,2024.0,16525,0.07368142676789259
17-2199.08,Slow,4.0,2024.0,16522,0.07340729392032994
17-2199.08,Slow,4.0,2024.0,16513,0.031790068808764865
17-2199.08,Slow,4.0,2024.25,16517,0.0634051424684949
17-2199.08,Slow,4.0,2024.25,16509,0.1176023668584551
17-2199.08,Slow,4.0,2024.25,16511,0.11278701006765336
17-2199.08,Slow,4.0,2024.25,16521,0.01947004774549578
17-2199.08,Slow,4.0,2024.25,16512,0.0302510413390696
17-2199.08,Slow,4.0,2024.25,16516,0.01783992261080903
17-2199.08,Slow,4.0,2024.25,21057,0.017795318793147323
17-2199.08,Slow,4.0,2024.25,16520,0.09619139087981964
17-2199.08,Slow,4.0,2024.25,21058,0.09084691438060472
17-2199.08,Slow,4.0,2024.25,16528,0.015852966934828645
17-2199.08,Slow,4.0,2024.25,16523,0.015324138938379086
17-2199.08,Slow,4.0,2024.25,16514,0.014609515183468182
17-2199.08,Slow,4.0,2024.25,16510,0.08346679678096693
17-2199.08,Slow,4.0,2024.25,16515,0.013956823348044392
17-2199.08,Slow,4.0,2024.25,16530,0.013547045828950893
17-2199.08,Slow,4.0,2024.25,16518,0.021257748497129966
17-2199.08,Slow,4.0,2024.25,16519,0.07617119135697846
