soc,scenario,eta,t,task_id,p_ij
17-2199.08,Slow,1.0,2024.0,16517,0.07215446173933679
17-2199.08,Slow,1.0,2024.0,16509,0.07722302364453369
17-2199.08,Slow,1.0,2024.0,16511,0.07406104296976963
17-2199.08,Slow,1.0,2024.0,16521,0.048931225082539546
17-2199.08,Slow,1.0,2024.0,16512,0.05462097811384144
17-2199.08,Slow,1.0,2024.0,16516,0.04483446985519219
17-2199.08,Slow,1.0,2024.0,21057,0.04472237359995571
17-2199.08,Slow,1.0,2024.0,16520,0.06316361014445722
17-2199.08,Slow,1.0,2024.0,21058,0.05965418558021125
17-2199.08,Slow,1.0,2024.0,16528,0.03984094458595305
17-2199.08,Slow,1.0,2024.0,16523,0.03851191848070336
17-2199.08,Slow,1.0,2024.0,16514,0.03671595905328159
17-2199.08,Slow,1.0,2024.0,16510,0.054808067163375204
17-2199.08,Slow,1.0,2024.0,16515,0.035075644066583846
17-2199.08,Slow,1.0,2024.0,16530,0.034045810124591215
17-2199.08,Slow,1.0,2024.0,16518,0.0383827783776713
17-2199.08,Slow,1.0,2024.0,16519,0.05001744325666475
17-2199.08,Slow,1.0,2024.0,16525,0.048638525320283475
17-2199.08,Slow,1.0,2024.0,16522,0.04845756496117832
17-2199.08,Slow,1.0,2024.0,16513,0.036139973879876504
17-2199.08,Slow,1.0,2024.25,16517,0.07222087812015279
17-2199.08,Slow,1.0,2024.25,16509,0.07750119466825431
17-2199.08,Slow,1.0,2024.25,16511,0.07432782397844326
17-2199.08,Slow,1.0,2024.25,16521,0.04868396960722698
17-2199.08,Slow,1.0,2024.25,16512,0.05451299149694479
17-2199.08,Slow,1.0,2024.25,16516,0.04460791578597089
17-2199.08,Slow,1.0,2024.25,21057,0.04449638596684597
17-2199.08,Slow,1.0,2024.25,16520,0.06339113666785069
17-2199.08,Slow,1.0,2024.25,21058,0.05986907053406193
17-2199.08,Slow,1.0,2024.25,16528,0.039639623411715445
17-2199.08,Slow,1.0,2024.25,16523,0.03831731303820559
17-2199.08,Slow,1.0,2024.25,16514,0.03653042881380848
17-2199.08,Slow,1.0,2024.25,16510,0.055005495539414494
17-2199.08,Slow,1.0,2024.25,16515,0.03489840253970713
17-2199.08,Slow,1.0,2024.25,16530,0.03387377247479689
17-2199.08,Slow,1.0,2024.25,16518,0.038306894962045535
17-2199.08,Slow,1.0,2024.25,16519,0.050197614955957925
17-2199.08,Slow,1.0,2024.25,16525,0.04881372991267139
17-2199.08,Slow,1.0,2024.25,16522,0.04863211770226634
17-2199.08,Slow,1.0,2024.25,16513,0.03617323982365913
17-2199.08,Slow,1.0,2024.5,16517,0.07228703240647072
17-2199.08,Slow,1.0,2024.5,16509,0.07777826796436693
17-2199.08,Slow,1.0,2024.5,16511,0.07459355220715949
17-2199.08,Slow,1.0,2024.5,16521,0.04843768985957233
17-2199.08,Slow,1.0,2024.5,16512,0.05440543102037389
17-2199.08,Slow,1.0,2024.5,16516,0.04438225575184052
17-2199.08,Slow,1.0,2024.5,21057,0.044271290133538414
17-2199.08,Slow,1.0,2024.5,16520,0.06361776531862273
17-2199.08,Slow,1.0,2024.5,21058,0.060083107501867114
17-2199.08,Slow,1.0,2024.5,16528,0.039439096697691835
17-2199.08,Slow,1.0,2024.5,16523,0.0381234755540812
17-2199.08,Slow,1.0,2024.5,16514,0.03634563071984523
17-2199.08,Slow,1.0,2024.5,16510,0.05520214481712759
17-2199.08,Slow,1.0,2024.5,16515,0.034721860449151036
17-2199.08,Slow,1.0,2024.5,16530,0.03370241372561294
17-2199.08,Slow,1.0,2024.5,16518,0.038231311000040805
17-2199.08,Slow,1.0,2024.5,16519,0.05037707565578811
17-2199.08,Slow,1.0,2024.5,16525,0.048988243106956327
17-2199.08,Slow,1.0,2024.5,16522,0.04880598161760833
17-2199.08,Slow,1.0,2024.5,16513,0.03620637449228446
17-2199.08,Slow,1.0,2024.75,16517,0.07235292614666429
17-2199.08,Slow,1.0,2024.75,16509,0.07805425001790882
17-2199.08,Slow,1.0,2024.75,16511,0.07485823387541865
17-2199.08,Slow,1.0,2024.75,16521,0.048192380075276535
17-2199.08,Slow,1.0,2024.75,16512,0.054298294166622664
17-2199.08,Slow,1.0,2024.75,16516,0.04415748447111658
17-2199.08,Slow,1.0,2024.75,21057,0.04404708083155394
17-2199.08,Slow,1.0,2024.75,16520,0.06384350140112875
17-2199.08,Slow,1.0,2024.75,21058,0.06029630149326765
17-2199.08,Slow,1.0,2024.75,16528,0.039239359750455484
17-2199.08,Slow,1.0,2024.75,16523,0.03793040149146816
17-2199.08,Slow,1.0,2024.75,16514,0.03616156044610119
17-2199.08,Slow,1.0,2024.75,16510,0.05539801959918789
17-2199.08,Slow,1.0,2024.75,16515,0.03454601366286077
17-2199.08,Slow,1.0,2024.75,16530,0.03353172986630324
17-2199.08,Slow,1.0,2024.75,16518,0.03815602472257717
17-2199.08,Slow,1.0,2024.75,16519,0.050555829556521534
17-2199.08,Slow,1.0,2024.75,16525,0.04916206898770571
17-2199.08,Slow,1.0,2024.75,16522,0.04897916077657503
17-2199.08,Slow,1.0,2024.75,16513,0.03623937866128576
17-2199.08,Slow,1.0,2025.0,16517,0.07241856087693478
17-2199.08,Slow,1.0,2025.0,16509,0.07832914726293554
17-2199.08,Slow,1.0,2025.0,16511,0.07512187515382689
17-2199.08,Slow,1.0,2025.0,16521,0.047948034535356274
17-2199.08,Slow,1.0,2025.0,16512,0.054191578437976354
17-2199.08,Slow,1.0,2025.0,16516,0.04393359670363629
17-2199.08,Slow,1.0,2025.0,21057,0.04382375283383135
17-2199.08,Slow,1.0,2025.0,16520,0.06406835017802434
17-2199.08,Slow,1.0,2025.0,21058,0.060508657478521445
17-2199.08,Slow,1.0,2025.0,16528,0.039040407913476814
17-2199.08,Slow,1.0,2025.0,16523,0.03773808634917081
17-2199.08,Slow,1.0,2025.0,16514,0.035978213701288835
17-2199.08,Slow,1.0,2025.0,16510,0.05559312445208518
17-2199.08,Slow,1.0,2025.0,16515,0.03437085808126552
17-2199.08,Slow,1.0,2025.0,16530,0.0333617169176619
17-2199.08,Slow,1.0,2025.0,16518,0.03808103437448222
17-2199.08,Slow,1.0,2025.0,16519,0.05073388082550354
17-2199.08,Slow,1.0,2025.0,16525,0.04933521160737642
17-2199.08,Slow,1.0,2025.0,16522,0.049151659216546094
