soc,scenario,eta,eps,task_id,t_star
17-2199.08,Baseline,2.0,0.05,16523,2024.0
17-2199.08,Baseline,2.0,0.05,16514,2024.0
17-2199.08,Baseline,2.0,0.05,16510,
17-2199.08,Baseline,2.0,0.05,16515,2024.0
17-2199.08,Baseline,2.0,0.05,16530,2024.0
17-2199.08,Baseline,2.0,0.05,16518,2024.0
17-2199.08,Baseline,2.0,0.05,16519,
17-2199.08,Baseline,2.0,0.05,16525,
17-2199.08,Baseline,2.0,0.05,16522,
17-2199.08,Baseline,2.0,0.05,16513,2024.0
17-2199.08,Slow,0.5,0.01,16517,
17-2199.08,Slow,0.5,0.01,16509,
17-2199.08,Slow,0.5,0.01,16511,
17-2199.08,Slow,0.5,0.01,16521,
17-2199.08,Slow,0.5,0.01,16512,
17-2199.08,Slow,0.5,0.01,16516,
17-2199.08,Slow,0.5,0.01,21057,
17-2199.08,Slow,0.5,0.01,16520,
17-2199.08,Slow,0.5,0.01,21058,
17-2199.08,Slow,0.5,0.01,16528,
17-2199.08,Slow,0.5,0.01,16523,
17-2199.08,Slow,0.5,0.01,16514,
17-2199.08,Slow,0.5,0.01,16510,
17-2199.08,Slow,0.5,0.01,16515,
17-2199.08,Slow,0.5,0.01,16530,
17-2199.08,Slow,0.5,0.01,16518,
17-2199.08,Slow,0.5,0.01,16519,
17-2199.08,Slow,0.5,0.01,16525,
17-2199.08,Slow,0.5,0.01,16522,
17-2199.08,Slow,0.5,0.01,16513,
17-2199.08,Slow,0.5,0.05,16517,
17-2199.08,Slow,0.5,0.05,16509,
17-2199.08,Slow,0.5,0.05,16511,
17-2199.08,Slow,0.5,0.05,16521,
17-2199.08,Slow,0.5,0.05,16512,
17-2199.08,Slow,0.5,0.05,16516,2024.5
17-2199.08,Slow,0.5,0.05,21057,2024.25
17-2199.08,Slow,0.5,0.05,16520,
17-2199.08,Slow,0.5,0.05,21058,
17-2199.08,Slow,0.5,0.05,16528,2024.0
17-2199.08,Slow,0.5,0.05,16523,2024.0
17-2199.08,Slow,0.5,0.05,16514,2024.0
17-2199.08,Slow,0.5,0.05,16510,
17-2199.08,Slow,0.5,0.05,16515,2024.0
17-2199.08,Slow,0.5,0.05,16530,2024.0
17-2199.08,Slow,0.5,0.05,16518,2024.0
17-2199.08,Slow,0.5,0.05,16519,2024.0
17-2199.08,Slow,0.5,0.05,16525,2024.0
17-2199.08,Slow,0.5,0.05,16522,2024.0
17-2199.08,Slow,0.5,0.05,16513,2024.0
17-2199.08,Slow,1.0,0.01,16517,
17-2199.08,Slow,1.0,0.01,16509,
17-2199.08,Slow,1.0,0.01,16511,
17-2199.08,Slow,1.0,0.01,16521,
17-2199.08,Slow,1.0,0.01,16512,
17-2199.08,Slow,1.0,0.01,16516,
17-2199.08,Slow,1.0,0.01,21057,
17-2199.08,Slow,1.0,0.01,16520,
17-2199.08,Slow,1.0,0.01,21058,
17-2199.08,Slow,1.0,0.01,16528,
17-2199.08,Slow,1.0,0.01,16523,
17-2199.08,Slow,1.0,0.01,16514,
17-2199.08,Slow,1.0,0.01,16510,
17-2199.08,Slow,1.0,0.01,16515,
17-2199.08,Slow,1.0,0.01,16530,
17-2199.08,Slow,1.0,0.01,16518,
17-2199.08,Slow,1.0,0.01,16519,
17-2199.08,Slow,1.0,0.01,16525,
17-2199.08,Slow,1.0,0.01,16522,
17-2199.08,Slow,1.0,0.01,16513,
17-2199.08,Slow,1.0,0.05,16517,
17-2199.08,Slow,1.0,0.05,16509,
17-2199.08,Slow,1.0,0.05,16511,
17-2199.08,Slow,1.0,0.05,16521,2024.0
17-2199.08,Slow,1.0,0.05,16512,
17-2199.08,Slow,1.0,0.05,16516,2024.0
17-2199.08,Slow,1.0,0.05,21057,2024.0
17-2199.08,Slow,1.0,0.05,16520,
17-2199.08,Slow,1.0,0.05,21058,
17-2199.08,Slow,1.0,0.05,16528,2024.0
17-2199.08,Slow,1.0,0.05,16523,2024.0
17-2199.08,Slow,1.0,0.05,16514,2024.0
17-2199.08,Slow,1.0,0.05,16510,
17-2199.08,Slow,1.0,0.05,16515,2024.0
17-2199.08,Slow,1.0,0.05,16530,2024.0
17-2199.08,Slow,1.0,0.05,16518,2024.0
17-2199.08,Slow,1.0,0.05,16519,
17-2199.08,Slow,1.0,0.05,16525,2024.0
17-2199.08,Slow,1.0,0.05,16522,2024.0
17-2199.08,Slow,1.0,0.05,16513,2024.0
17-2199.08,Slow,2.0,0.01,16517,
17-2199.08,Slow,2.0,0.01,16509,
17-2199.08,Slow,2.0,0.01,16511,
17-2199.08,Slow,2.0,0.01,16521,
17-2199.08,Slow,2.0,0.01,16512,
17-2199.08,Slow,2.0,0.01,16516,
17-2199.08,Slow,2.0,0.01,21057,
17-2199.08,Slow,2.0,0.01,16520,
17-2199.08,Slow,2.0,0.01,21058,
17-2199.08,Slow,2.0,0.01,16528,
17-2199.08,Slow,2.0,0.01,16523,
17-2199.08,Slow,2.0,0.01,16514,
17-2199.08,Slow,2.0,0.01,16510,
17-2199.08,Slow,2.0,0.01,16515,
17-2199.08,Slow,2.0,0.01,16530,
17-2199.08,Slow,2.0,0.01,16518,
17-2199.08,Slow,2.0,0.01,16519,
17-2199.08,Slow,2.0,0.01,16525,
17-2199.08,Slow,2.0,0.01,16522,
17-2199.08,Slow,2.0,0.01,16513,
17-2199.08,Slow,2.0,0.05,16517,
17-2199.08,Slow,2.0,0.05,16509,
17-2199.08,Slow,2.0,0.05,16511,
17-2199.08,Slow,2.0,0.05,16521,2024.0
17-2199.08,Slow,2.0,0.05,16512,2024.0
17-2199.08,Slow,2.0,0.05,16516,2024.0
17-2199.08,Slow,2.0,0.05,21057,2024.0
17-2199.08,Slow,2.0,0.05,16520,
17-2199.08,Slow,2.0,0.05,21058,
17-2199.08,Slow,2.0,0.05,16528,2024.0
17-2199.08,Slow,2.0,0.05,16523,2024.0
17-2199.08,Slow,2.0,0.05,16514,2024.0
17-2199.08,Slow,2.0,0.05,16510,
17-2199.08,Slow,2.0,0.05,16515,2024.0
17-2199.08,Slow,2.0,0.05,16530,2024.0
17-2199.08,Slow,2.0,0.05,16518,2024.0
17-2199.08,Slow,2.0,0.05,16519,
17-2199.08,Slow,2.0,0.05,16525,
17-2199.08,Slow,2.0,0.05,16522,
17-2199.08,Slow,2.0,0.05,16513,2024.0
17-2199.08,Fast,0.5,0.01,16517,
17-2199.08,Fast,0.5,0.01,16509,
17-2199.08,Fast,0.5,0.01,16511,
17-2199.08,Fast,0.5,0.01,16521,
17-2199.08,Fast,0.5,0.01,16512,
17-2199.08,Fast,0.5,0.01,16516,
17-2199.08,Fast,0.5,0.01,21057,
17-2199.08,Fast,0.5,0.01,16520,
17-2199.08,Fast,0.5,0.01,21058,
17-2199.08,Fast,0.5,0.01,16528,
17-2199.08,Fast,0.5,0.01,16523,
17-2199.08,Fast,0.5,0.01,16514,
17-2199.08,Fast,0.5,0.01,16510,
17-2199.08,Fast,0.5,0.01,16515,
17-2199.08,Fast,0.5,0.01,16530,
17-2199.08,Fast,0.5,0.01,16518,
17-2199.08,Fast,0.5,0.01,16519,
17-2199.08,Fast,0.5,0.01,16525,
17-2199.08,Fast,0.5,0.01,16522,
17-2199.08,Fast,0.5,0.01,16513,
17-2199.08,Fast,0.5,0.05,16517,
17-2199.08,Fast,0.5,0.05,16509,
17-2199.08,Fast,0.5,0.05,16511,
17-2199.08,Fast,0.5,0.05,16521,
17-2199.08,Fast,0.5,0.05,16512,
17-2199.08,Fast,0.5,0.05,16516,2024.5
17-2199.08,Fast,0.5,0.05,21057,2024.25
17-2199.08,Fast,0.5,0.05,16520,
17-2199.08,Fast,0.5,0.05,21058,
17-2199.08,Fast,0.5,0.05,16528,2024.0
17-2199.08,Fast,0.5,0.05,16523,2024.0
17-2199.08,Fast,0.5,0.05,16514,2024.0
17-2199.08,Fast,0.5,0.05,16510,
17-2199.08,Fast,0.5,0.05,16515,2024.0
17-2199.08,Fast,0.5,0.05,16530,2024.0
17-2199.08,Fast,0.5,0.05,16518,2024.0
17-2199.08,Fast,0.5,0.05,16519,2024.0
17-2199.08,Fast,0.5,0.05,16525,2024.0
17-2199.08,Fast,0.5,0.05,16522,2024.0
17-2199.08,Fast,0.5,0.05,16513,2024.0
17-2199.08,Fast,1.0,0.01,16517,
17-2199.08,Fast,1.0,0.01,16509,
17-2199.08,Fast,1.0,0.01,16511,
17-2199.08,Fast,1.0,0.01,16521,
17-2199.08,Fast,1.0,0.01,16512,
17-2199.08,Fast,1.0,0.01,16516,
17-2199.08,Fast,1.0,0.01,21057,
17-2199.08,Fast,1.0,0.01,16520,
17-2199.08,Fast,1.0,0.01,21058,
17-2199.08,Fast,1.0,0.01,16528,
17-2199.08,Fast,1.0,0.01,16523,
17-2199.08,Fast,1.0,0.01,16514,
17-2199.08,Fast,1.0,0.01,16510,
17-2199.08,Fast,1.0,0.01,16515,
17-2199.08,Fast,1.0,0.01,16530,
17-2199.08,Fast,1.0,0.01,16518,
17-2199.08,Fast,1.0,0.01,16519,
17-2199.08,Fast,1.0,0.01,16525,
17-2199.08,Fast,1.0,0.01,16522,
17-2199.08,Fast,1.0,0.01,16513,
17-2199.08,Fast,1.0,0.05,16517,
17-2199.08,Fast,1.0,0.05,16509,
17-2199.08,Fast,1.0,0.05,16511,
17-2199.08,Fast,1.0,0.05,16521,2024.0
17-2199.08,Fast,1.0,0.05,16512,
17-2199.08,Fast,1.0,0.05,16516,2024.0
17-2199.08,Fast,1.0,0.05,21057,2024.0
17-2199.08,Fast,1.0,0.05,16520,
17-2199.08,Fast,1.0,0.05,21058,
17-2199.08,Fast,1.0,0.05,16528,2024.0
17-2199.08,Fast,1.0,0.05,16523,2024.0
17-2199.08,Fast,1.0,0.05,16514,2024.0
17-2199.08,Fast,1.0,0.05,16510,
17-2199.08,Fast,1.0,0.05,16515,2024.0
17-2199.08,Fast,1.0,0.05,16530,2024.0
17-2199.08,Fast,1.0,0.05,16518,2024.0
17-2199.08,Fast,1.0,0.05,16519,
17-2199.08,Fast,1.0,0.05,16525,2024.0
17-2199.08,Fast,1.0,0.05,16522,2024.0
17-2199.08,Fast,1.0,0.05,16513,2024.0
17-2199.08,Fast,2.0,0.01,16517,
17-2199.08,Fast,2.0,0.01,16509,
17-2199.08,Fast,2.0,0.01,16511,
17-2199.08,Fast,2.0,0.01,16521,
17-2199.08,Fast,2.0,0.01,16512,
17-2199.08,Fast,2.0,0.01,16516,
17-2199.08,Fast,2.0,0.01,21057,
17-2199.08,Fast,2.0,0.01,16520,
17-2199.08,Fast,2.0,0.01,21058,
17-2199.08,Fast,2.0,0.01,16528,
17-2199.08,Fast,2.0,0.01,16523,
17-2199.08,Fast,2.0,0.01,16514,
17-2199.08,Fast,2.0,0.01,16510,
17-2199.08,Fast,2.0,0.01,16515,
17-2199.08,Fast,2.0,0.01,16530,
17-2199.08,Fast,2.0,0.01,16518,
17-2199.08,Fast,2.0,0.01,16519,
17-2199.08,Fast,2.0,0.01,16525,
17-2199.08,Fast,2.0,0.01,16522,
17-2199.08,Fast,2.0,0.01,16513,
17-2199.08,Fast,2.0,0.05,16517,
17-2199.08,Fast,2.0,0.05,16509,
